scope,dataset,task,task_type,model_or_config,split,metric,value,time_train_s,time_infer_s,notes
relbench_json2vec_clean_matrix,rel-f1,driver-top3,binary_classification,entity_mean,test,f1,0.03821656050955414,0.001936197280883789,0.001135110855102539,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-top3,binary_classification,entity_mean,test,roc_auc,0.6462296195652173,0.001936197280883789,0.001135110855102539,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_mean,val,r2,-0.3695343053187017,0.0028870105743408203,0.0002582073211669922,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_mean,val,mae,4.334384660077398,0.0028870105743408203,0.0002582073211669922,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_mean,val,rmse,5.425462265659536,0.0028870105743408203,0.0002582073211669922,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_mean,test,r2,-0.1437130963350195,0.0028870105743408203,0.00012111663818359375,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_mean,test,mae,4.550642984289873,0.0028870105743408203,0.00012111663818359375,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_mean,test,rmse,5.572221901106164,0.0028870105743408203,0.00012111663818359375,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_median,val,r2,-0.23556779012290963,0.0028870105743408203,0.0007290840148925781,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_median,val,mae,4.135571046088963,0.0028870105743408203,0.0007290840148925781,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_median,val,rmse,5.153278084013721,0.0028870105743408203,0.0007290840148925781,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_median,test,r2,-0.07293345778135785,0.0028870105743408203,0.00022292137145996094,clean fixed-config matrix; no tuning
